STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
CHAMBERS ST,ACE23,3005.0,8088.0,103055.0,32837.0
CHAMBERS ST,JZ456,642.0,2516.0,37756.0,24648.0
CHAUNCEY ST,JZ,3605.0,410.0,3064.0,1452.0
CHRISTOPHER ST,1,791.0,1049.0,22646.0,21311.0
CHURCH AV,25,14828.0,986.0,9459.0,2172.0
CHURCH AV,BQ,9285.0,1593.0,28625.0,46036.0
CHURCH AV,FG,4952.0,941.0,17490.0,16959.0
CITY HALL,NRW,181.0,807.0,19687.0,6001.0
CLARK ST,23,734.0,600.0,13253.0,6838.0
CLASSON AV,G,1567.0,729.0,11133.0,13052.0
CLEVELAND ST,J,5150.0,924.0,2501.0,3418.0
CLINTON-WASH AV,C,1317.0,886.0,14743.0,12135.0
CLINTON-WASH AV,G,3354.0,203.0,5602.0,710.0
CONEY IS-STILLW,DFNQ,13607.0,4937.0,12497.0,11359.0
CORTELYOU RD,BQ,3499.0,218.0,10360.0,5829.0
CORTLANDT ST,RNW,5259.0,9029.0,19702.0,13246.0
COURT SQ,7,661.0,3306.0,12416.0,9352.0
COURT SQ,EMG,1699.0,4101.0,42954.0,24842.0
COURT SQ-23 ST,EMG,1092.0,1441.0,17360.0,3610.0
CRESCENT ST,JZ,8213.0,1198.0,3572.0,5345.0
CROWN HTS-UTICA,34,16771.0,2660.0,42459.0,53658.0
CYPRESS AV,6,3933.0,2708.0,4164.0,2317.0
CYPRESS HILLS,J,1477.0,241.0,2345.0,2494.0
DEKALB AV,BDNQR,3548.0,1915.0,58863.0,20307.0
DEKALB AV,L,6019.0,420.0,20268.0,8447.0
DELANCEY/ESSEX,FJMZ,11395.0,10759.0,28235.0,17522.0
DITMAS AV,F,5369.0,651.0,3628.0,1637.0
DYCKMAN ST,1,3478.0,493.0,15081.0,8292.0
DYCKMAN ST,A,8185.0,96.0,6530.0,206.0
E 143/ST MARY'S,6,768.0,1880.0,1617.0,1072.0
E 149 ST,6,7071.0,2532.0,5179.0,4458.0
E 180 ST,25,12593.0,1861.0,6190.0,5827.0
EAST 105 ST,L,6436.0,2451.0,3160.0,3073.0
EAST BROADWAY,F,2475.0,1597.0,36524.0,13454.0
EASTCHSTER/DYRE,5,9753.0,2404.0,3463.0,4290.0
EASTN PKWY-MUSM,23,959.0,425.0,9350.0,10681.0
ELDER AV,6,11422.0,1837.0,5893.0,5284.0
ELMHURST AV,MR,7959.0,340.0,296470623.0,1940784030.0
EUCLID AV,AC,7664.0,931.0,18780.0,8254.0
EXCHANGE PLACE,1,0.0,1.0,,
FAR ROCKAWAY,A,4504.0,1453.0,9039.0,11436.0
FLATBUSH AV-B.C,25,29245.0,3193.0,20839.0,12979.0
FLUSHING AV,G,2639.0,3028.0,3389.0,2776.0
FLUSHING AV,JM,4825.0,2513.0,10239.0,4790.0
FLUSHING-MAIN,7,31356.0,8331.0,108575.0,115340.0
FORDHAM RD,4,7053.0,501.0,22742.0,5321.0
FORDHAM RD,BD,8172.0,915.0,24743.0,15409.0
FOREST AVE,M,6814.0,688.0,3150.0,2677.0
FOREST HILLS 71,EFMR,31689.0,4103.0,24103.0,14382.0
FRANKLIN AV,2345S,6328.0,1162.0,28003.0,20148.0
FRANKLIN AV,ACS,4470.0,2992.0,6058.0,6578.0
FRANKLIN ST,1,1264.0,2355.0,7480.0,4473.0
FREEMAN ST,25,6674.0,1385.0,4562.0,3222.0
FRESH POND RD,M,10228.0,1185.0,4228.0,5465.0
FT HAMILTON PKY,D,4471.0,1025.0,4389.0,2893.0
FT HAMILTON PKY,FG,6955.0,372.0,4922.0,2083.0
FT HAMILTON PKY,N,5299.0,152.0,2145.0,416.0
FULTON ST,2345ACJZ,18341.0,28405.0,86028.0,48902.0
FULTON ST,ACJZ2345,3211.0,6092.0,39277.0,16351.0
FULTON ST,G,1032.0,728.0,16823.0,11277.0
GATES AV,JZ,7030.0,813.0,7260.0,2424.0
GRAHAM AV,L,2131.0,1615.0,18406.0,15089.0
GRAND ARMY PLAZ,23,1128.0,258.0,15876.0,7396.0
GRAND ST,BD,1864.0,3031.0,67802.0,35698.0
GRAND ST,L,1924.0,1930.0,16730.0,13256.0
GRAND-NEWTOWN,MR,12594.0,1116.0,31592.0,29392.0
GRANT AV,A,4793.0,628.0,9335.0,13962.0
GRD CNTRL-42 ST,4567S,39361.0,72701.0,289885.0,251063.0
GREENPOINT AV,G,2440.0,2093.0,23309.0,18128.0
GUN HILL RD,25,9274.0,3892.0,7762.0,7369.0
GUN HILL RD,5,6431.0,294.0,7869.0,3483.0
HALSEY ST,J,7278.0,820.0,5956.0,2283.0
HALSEY ST,L,5003.0,443.0,15564.0,12028.0
HARLEM 148 ST,3,2766.0,423.0,9353.0,12922.0
HARRISON,1,10.0,20.0,,
HEWES ST,JM,1814.0,496.0,2891.0,1269.0
HIGH ST,AC,892.0,2247.0,28535.0,23722.0
HOUSTON ST,1,1642.0,5709.0,18170.0,9289.0
HOWARD BCH JFK,A,2545.0,2294.0,5965.0,7216.0
HOYT ST,23,571.0,1540.0,24177.0,14655.0
HOYT-SCHER,ACG,1254.0,2107.0,32422.0,21207.0
HUNTERS PT AV,7,6792.0,6225.0,4873.0,3895.0
HUNTS POINT AV,6,13635.0,6555.0,10649.0,9139.0
INTERVALE AV,25,4000.0,1736.0,3964.0,3602.0
INWOOD-207 ST,A,11800.0,1149.0,8164.0,3854.0
JACKSON AV,25,6715.0,492.0,6470.0,1165.0
JAMAICA 179 ST,F,22470.0,1836.0,28563.0,24446.0
JAMAICA CENTER,EJZ,33067.0,5697.0,68622.0,83283.0
JAMAICA VAN WK,E,6515.0,3012.0,4658.0,4819.0
JAY ST-METROTEC,ACF,6390.0,7048.0,133961.0,45820.0
JAY ST-METROTEC,R,329.0,546.0,13810.0,7161.0
JEFFERSON ST,L,2418.0,427.0,15340.0,3978.0
JFK JAMAICA CT1,E,7238.0,3349.0,15363.0,9532.0
JKSN HT-ROOSVLT,EFMR7,25779.0,6199.0,94035.0,101958.0
JOURNAL SQUARE,1,1093.0,14.0,,
JUNCTION BLVD,7,19452.0,1965.0,33686.0,51662.0
JUNIUS ST,3,1094.0,638.0,4508.0,7033.0
KEW GARDENS,EF,60288.0,19183.0,26251.0,35751.0
KINGS HWY,BQ,9735.0,1580.0,36813.0,46867.0
KINGS HWY,F,5796.0,1176.0,3767.0,3904.0
